file,line,raw,hex,token,nearestToken,distance,context
src/assets/hair/hairDraw.js,15,#ffffff,#ffffff,surface,surface,0,"export const BUNBEARD_SVG = `<defs id=""defs30""> <mask id=""beard_light_mask-2"" fill=""#ffffff""> <path d=""m 50.7142,49.084285 c -1.256782,1.147"
src/assets/hair/hairDraw.js,15,#ffffff,#ffffff,surface,surface,0,"export const BUNBEARD_SVG = `<defs id=""defs30""> <mask id=""beard_light_mask-2"" fill=""#ffffff""> <path d=""m 50.7142,49.084285 c -1.256782,1.147"
src/assets/hair/hairDraw.js,15,#ffffff,#ffffff,surface,surface,0,"export const BUNBEARD_SVG = `<defs id=""defs30""> <mask id=""beard_light_mask-2"" fill=""#ffffff""> <path d=""m 50.7142,49.084285 c -1.256782,1.147"
src/assets/hair/hairDraw.js,15,#ffffff,#ffffff,surface,surface,0,"export const BUNBEARD_SVG = `<defs id=""defs30""> <mask id=""beard_light_mask-2"" fill=""#ffffff""> <path d=""m 50.7142,49.084285 c -1.256782,1.147"
src/assets/hair/hairDraw.js,15,#ffffff,#ffffff,surface,surface,0,"export const BUNBEARD_SVG = `<defs id=""defs30""> <mask id=""beard_light_mask-2"" fill=""#ffffff""> <path d=""m 50.7142,49.084285 c -1.256782,1.147"
src/assets/hair/hairDraw.js,15,#ffffff,#ffffff,surface,surface,0,"export const BUNBEARD_SVG = `<defs id=""defs30""> <mask id=""beard_light_mask-2"" fill=""#ffffff""> <path d=""m 50.7142,49.084285 c -1.256782,1.147"
src/assets/hair/hairDraw.js,15,#331b0c,#331b0c,,text-main,29,"export const BUNBEARD_SVG = `<defs id=""defs30""> <mask id=""beard_light_mask-2"" fill=""#ffffff""> <path d=""m 50.7142,49.084285 c -1.256782,1.147"
src/assets/hair/hairDraw.js,15,#724133,#724133,,text-secondary,75,"export const BUNBEARD_SVG = `<defs id=""defs30""> <mask id=""beard_light_mask-2"" fill=""#ffffff""> <path d=""m 50.7142,49.084285 c -1.256782,1.147"
src/assets/hair/hairDraw.js,15,#724133,#724133,,text-secondary,75,"export const BUNBEARD_SVG = `<defs id=""defs30""> <mask id=""beard_light_mask-2"" fill=""#ffffff""> <path d=""m 50.7142,49.084285 c -1.256782,1.147"
src/assets/hair/hairDraw.js,27,#784421,#784421,,text-secondary,89,".replace(/#784421/gi, hC)"
src/assets/hair/hairDraw.js,28,#784133,#784133,,text-secondary,76,".replace(/#784133/gi, hC)"
src/assets/hair/hairDraw.js,29,#724133,#724133,,text-secondary,75,".replace(/#724133/gi, hC)"
src/assets/hair/hairDraw.js,30,#000000,#000000,,text-main,50,".replace(/stroke=""#000000""/g, `stroke=""${hD}""`)"
src/assets/hair/hairDraw.js,31,#000000,#000000,,text-main,50,".replace(/stroke:#000000/g, `stroke:${hD}`);"
src/assets/hair/hairStyles.js,44,#1a0a00,#1a0a00,,text-main,35,"'#1a0a00','#3b1f0a','#5c3317','#784421',"
src/assets/hair/hairStyles.js,44,#3b1f0a,#3b1f0a,,text-main,37,"'#1a0a00','#3b1f0a','#5c3317','#784421',"
src/assets/hair/hairStyles.js,44,#5c3317,#5c3317,,text-main,68,"'#1a0a00','#3b1f0a','#5c3317','#784421',"
src/assets/hair/hairStyles.js,44,#784421,#784421,,text-secondary,89,"'#1a0a00','#3b1f0a','#5c3317','#784421',"
src/assets/hair/hairStyles.js,45,#a0522d,#a0522d,,text-secondary,89,"'#a0522d','#c47c3e','#d4a853','#e8c97a',"
src/assets/hair/hairStyles.js,45,#c47c3e,#c47c3e,,primary-dark,84,"'#a0522d','#c47c3e','#d4a853','#e8c97a',"
src/assets/hair/hairStyles.js,45,#d4a853,#d4a853,,text-muted,102,"'#a0522d','#c47c3e','#d4a853','#e8c97a',"
src/assets/hair/hairStyles.js,45,#e8c97a,#e8c97a,,text-muted,86,"'#a0522d','#c47c3e','#d4a853','#e8c97a',"
src/assets/hair/hairStyles.js,46,#f5e6c8,#f5e6c8,,tint,44,"'#f5e6c8','#fffacd','#daa520','#c0c0c0',"
src/assets/hair/hairStyles.js,46,#fffacd,#fffacd,,base,41,"'#f5e6c8','#fffacd','#daa520','#c0c0c0',"
src/assets/hair/hairStyles.js,46,#daa520,#daa520,,primary-dark,136,"'#f5e6c8','#fffacd','#daa520','#c0c0c0',"
src/assets/hair/hairStyles.js,46,#c0c0c0,#c0c0c0,,text-muted,33,"'#f5e6c8','#fffacd','#daa520','#c0c0c0',"
src/assets/hair/hairStyles.js,47,#808080,#808080,,text-secondary,33,"'#808080','#2c2c2c','#e74c3c','#7b68ee',"
src/assets/hair/hairStyles.js,47,#2c2c2c,#2c2c2c,,text-main,27,"'#808080','#2c2c2c','#e74c3c','#7b68ee',"
src/assets/hair/hairStyles.js,47,#e74c3c,#e74c3c,,primary-dark,80,"'#808080','#2c2c2c','#e74c3c','#7b68ee',"
src/assets/hair/hairStyles.js,47,#7b68ee,#7b68ee,,text-muted,104,"'#808080','#2c2c2c','#e74c3c','#7b68ee',"
src/classroom/AvatarWall.jsx,42,#784421,#784421,,text-secondary,89,hairStyle={a.hair_style ?? 'none'} hairColor={a.hair_color ?? '#784421'} size={size}
src/classroom/AvatarWall.jsx,48,#784421,#784421,,text-secondary,89,hairStyle={a.hair_style ?? 'none'} hairColor={a.hair_color ?? '#784421'} size={size}
