file,line,raw,context
src/classroom/CheckinRunner.jsx,191,inherit,"fontSize: 15, fontFamily: 'inherit', resize: 'vertical', marginBottom: 16, boxSizing: 'border-box',"
src/classroom/CheckinRunner.jsx,195,inherit,"color: '#fff', fontSize: 15, fontWeight: 600, cursor: 'pointer', fontFamily: 'inherit',"
src/classroom/CheckinRunner.jsx,202,inherit,"cursor: 'pointer', fontFamily: 'inherit',"
src/classroom/ClassRemote.jsx,384,inherit,"color: '#fff', fontSize: 16, fontWeight: 600, cursor: 'pointer', fontFamily: 'inherit',"
src/classroom/ClassRemote.jsx,388,inherit,"color: 'var(--tx2)', fontSize: 15, cursor: 'pointer', fontFamily: 'inherit',"
src/classroom/ClassRemote.jsx,401,inherit,"color: '#fff', fontSize: 13, fontWeight: 600, cursor: 'pointer', fontFamily: 'inherit',"
src/classroom/ClassRoom.jsx,325,inherit,"cursor: 'pointer', fontFamily: 'inherit',"
src/classroom/ClassRoom.jsx,333,inherit,"fontSize: 14, fontFamily: 'inherit',"
src/classroom/ClassRoom.jsx,337,inherit,"color: '#fff', fontSize: 13, fontWeight: 600, cursor: 'pointer', fontFamily: 'inherit',"
src/classroom/ConsoleLecturePlanner.jsx,452,inherit,"linkBtn: { background: 'none', border: 'none', color: 'var(--pk)', fontSize: 12, cursor: 'pointer', fontFamily: 'inherit', padding: 0 },"
src/classroom/ConsoleLecturePlanner.jsx,453,inherit,"linkBtnDanger: { background: 'none', border: 'none', color: '#c04a4a', fontSize: 12, cursor: 'pointer', fontFamily: 'inherit', padding: 0 },"
src/classroom/ConsoleLecturePlanner.jsx,458,inherit,"input: { padding: '7px 10px', borderRadius: 7, border: '1px solid var(--bds)', fontSize: 13, fontFamily: 'inherit' },"
src/classroom/ConsoleLecturePlanner.jsx,478,inherit,"primaryBtnSm: { padding: '7px 16px', borderRadius: 8, border: 'none', background: 'var(--pk)', color: '#fff', fontSize: 13, fontWeight: 600,"
src/classroom/ConsoleLecturePlanner.jsx,479,inherit,"ghostBtnSm: { padding: '7px 16px', borderRadius: 8, border: '1px solid var(--bds)', background: 'none', color: 'var(--tx2)', fontSize: 13, c"
src/classroom/ConsoleLecturePlanner.jsx,480,inherit,"addBtn: { padding: '10px 16px', borderRadius: 8, border: '1px dashed var(--bds)', background: 'none', color: 'var(--pk)', fontSize: 13, curs"
src/classroom/ConsoleParticipation.jsx,113,inherit,"exportBtn: { padding: '8px 16px', borderRadius: 8, border: '1px solid var(--bds)', background: 'var(--bgc)', color: 'var(--pkd)', fontSize: "
src/classroom/LectureLoungeAdminPage.jsx,286,inherit,"btnSmall: { background: 'var(--pk)', color: '#fff', border: 'none', borderRadius: 8, padding: '7px 16px', fontSize: 13, fontWeight: 600, cur"
src/classroom/LectureLoungeAdminPage.jsx,287,inherit,"cancelBtn: { background: 'none', border: '1px solid var(--bd)', borderRadius: 8, padding: '7px 16px', fontSize: 13, cursor: 'pointer', color"
src/classroom/LectureLoungeAdminPage.jsx,290,inherit,"input: { padding: '7px 10px', borderRadius: 7, border: '1px solid var(--bds)', fontSize: 13, fontFamily: 'inherit' },"
src/components/DemoModal.jsx,36,DM Sans,"<p style={{ fontFamily: 'DM Sans', fontSize: 13, fontWeight: 600, color: '#fff', margin: '0 0 2px' }}>"
src/components/DemoModal.jsx,39,Space Mono,"<p style={{ fontFamily: 'Space Mono', fontSize: 11, color: 'rgba(255,255,255,0.45)', margin: 0 }}>"
src/components/DemoModal.jsx,48,DM Sans,"fontFamily: 'DM Sans', fontSize: 13, color: '#fff',"
src/components/ErrorBoundary.jsx,45,inherit,"btn: { padding: '10px 24px', borderRadius: 10, border: 'none', background: 'var(--pk)', color: '#fff', fontSize: 14, fontWeight: 600, cursor"
src/components/Nav.jsx,101,inherit,"fontFamily: 'inherit',"
src/components/Nav.jsx,107,inherit,"fontFamily: 'inherit', whiteSpace: 'nowrap',"
src/components/questionnaire/ChecklistScreen.jsx,83,DM Sans,"fontFamily: 'DM Sans',"
src/components/questionnaire/ChecklistScreen.jsx,105,DM Sans,"fontFamily: 'DM Sans',"
src/components/questionnaire/ChecklistScreen.jsx,119,Space Mono,"fontFamily: 'Space Mono',"
src/components/questionnaire/ChecklistScreen.jsx,154,Space Mono,"fontFamily:     'Space Mono',"
src/components/questionnaire/InstructionFrame.jsx,28,Space Mono,"fontFamily:    'Space Mono',"
src/components/questionnaire/InstructionFrame.jsx,40,DM Sans,"fontFamily: 'DM Sans',"
src/components/questionnaire/InstructionScreen.jsx,32,DM Serif Display,"fontFamily: 'DM Serif Display',"
src/components/questionnaire/InstructionScreen.jsx,44,DM Sans,"fontFamily: 'DM Sans',"
src/components/questionnaire/InstructionScreen.jsx,67,Space Mono,"fontFamily: 'Space Mono',"
src/components/questionnaire/InstructionScreen.jsx,79,DM Sans,"fontFamily: 'DM Sans',"
src/components/questionnaire/InstructionScreen.jsx,107,DM Sans,"fontFamily:   'DM Sans',"
src/components/questionnaire/LikertItem.jsx,56,DM Sans,"fontFamily: 'DM Sans',"
