file,line,raw,px,inScale,context
src/App.css,2,16px,16,yes,font-size: 16px;
src/App.css,120,16px,16,yes,font-size: 16px;
src/classroom/AvatarWall.jsx,61,13,13,no,"empty: { fontSize: 13, color: 'var(--tx3)', textAlign: 'center' },"
src/classroom/AvatarWall.jsx,62,11,11,no,"count: { fontFamily: MONO, fontSize: 11, letterSpacing: 1, textTransform: 'uppercase', color: 'var(--tx3)', textAlign: 'center', marginBotto"
src/classroom/CheckinRunner.jsx,185,12,12,yes,"eyebrow: { fontFamily: MONO, fontSize: 12, letterSpacing: 2, textTransform: 'uppercase', color: 'var(--pk)', marginBottom: 6 },"
src/classroom/CheckinRunner.jsx,186,22,22,no,"title: { fontFamily: SERIF, fontSize: 22, color: 'var(--tx)', marginBottom: 20 },"
src/classroom/CheckinRunner.jsx,187,13,13,no,"hint: { fontSize: 13, color: 'var(--tx3)' },"
src/classroom/CheckinRunner.jsx,188,13,13,no,"errorText: { fontSize: 13, color: '#c04a4a', marginBottom: 12 },"
src/classroom/CheckinRunner.jsx,191,15,15,no,"fontSize: 15, fontFamily: 'inherit', resize: 'vertical', marginBottom: 16, boxSizing: 'border-box',"
src/classroom/CheckinRunner.jsx,195,15,15,no,"color: '#fff', fontSize: 15, fontWeight: 600, cursor: 'pointer', fontFamily: 'inherit',"
src/classroom/CheckinRunner.jsx,199,17,17,no,"width: 52, height: 52, borderRadius: '50%', fontSize: 17, fontWeight: 600,"
src/classroom/CheckinRunner.jsx,204,12,12,yes,"pacingLabels: { display: 'flex', justifyContent: 'space-between', width: '100%', maxWidth: 280, fontSize: 12, color: 'var(--tx3)' },"
src/classroom/CheckinRunner.jsx,206,15,15,no,"quizQuestionText: { fontSize: 15, color: 'var(--tx)', fontWeight: 500, marginBottom: 10 },"
src/classroom/CheckinRunner.jsx,208,14,14,yes,"display: 'flex', alignItems: 'center', padding: '10px 12px', borderRadius: 10, fontSize: 14, marginBottom: 6, cursor: 'pointer',"
src/classroom/ClassConsole.jsx,41,12,12,yes,"fontFamily: MONO, fontSize: 12, letterSpacing: 1, textTransform: 'uppercase',"
src/classroom/ClassRemote.jsx,360,11,11,no,"eyebrow: { fontFamily: MONO, fontSize: 11, letterSpacing: 1.5, textTransform: 'uppercase', color: 'var(--pk)', marginBottom: 4 },"
src/classroom/ClassRemote.jsx,361,22,22,no,"h1: { fontFamily: SERIF, fontSize: 22, color: 'var(--tx)' },"
src/classroom/ClassRemote.jsx,363,11,11,no,"fontFamily: MONO, fontSize: 11, padding: '4px 10px', borderRadius: 20, whiteSpace: 'nowrap',"
src/classroom/ClassRemote.jsx,367,14,14,yes,"hint: { fontSize: 14, color: 'var(--tx3)', textAlign: 'center', padding: '40px 20px' },"
src/classroom/ClassRemote.jsx,368,13,13,no,"error: { fontSize: 13, color: '#c04a4a', background: '#fdecec', border: '1px solid #f3b8b8', borderRadius: 10, padding: '10px 14px', marginB"
src/classroom/ClassRemote.jsx,371,12,12,yes,"pos: { fontFamily: MONO, fontSize: 12, color: 'var(--tx3)' },"
src/classroom/ClassRemote.jsx,372,15,15,no,"activities: { flex: 1, fontSize: 15, color: 'var(--tx)', fontWeight: 500 },"
src/classroom/ClassRemote.jsx,374,10,10,no,"fontFamily: MONO, fontSize: 10, textTransform: 'uppercase', letterSpacing: 1, padding: '3px 8px', borderRadius: 6,"
src/classroom/ClassRemote.jsx,378,13,13,no,"liveRow: { display: 'flex', justifyContent: 'space-between', marginBottom: 10, fontFamily: MONO, fontSize: 13 },"
src/classroom/ClassRemote.jsx,384,16,16,yes,"color: '#fff', fontSize: 16, fontWeight: 600, cursor: 'pointer', fontFamily: 'inherit',"
src/classroom/ClassRemote.jsx,388,15,15,no,"color: 'var(--tx2)', fontSize: 15, cursor: 'pointer', fontFamily: 'inherit',"
src/classroom/ClassRemote.jsx,390,13,13,no,"doneLabel: { fontSize: 13, color: 'var(--tx3)', padding: '10px 0' },"
src/classroom/ClassRemote.jsx,392,11,11,no,"questionsLabel: { fontFamily: MONO, fontSize: 11, letterSpacing: 1, textTransform: 'uppercase', color: 'var(--tx3)', marginBottom: 8 },"
src/classroom/ClassRemote.jsx,393,13,13,no,"noQuestions: { fontSize: 13, color: 'var(--tx3)' },"
src/classroom/ClassRemote.jsx,396,14,14,yes,"questionText: { fontSize: 14, color: 'var(--tx)', lineHeight: 1.4 },"
src/classroom/ClassRemote.jsx,397,12,12,yes,"voteCount: { fontFamily: MONO, fontSize: 12, color: 'var(--pkd)', whiteSpace: 'nowrap' },"
src/classroom/ClassRemote.jsx,401,13,13,no,"color: '#fff', fontSize: 13, fontWeight: 600, cursor: 'pointer', fontFamily: 'inherit',"
src/classroom/ClassRemote.jsx,403,11,11,no,"answeredLabel: { fontFamily: MONO, fontSize: 11, color: 'var(--tx3)' },"
src/classroom/ClassRoom.jsx,317,12,12,yes,"eyebrow: { fontFamily: MONO, fontSize: 12, letterSpacing: 2, textTransform: 'uppercase', color: 'var(--pk)', marginBottom: 8 },"
src/classroom/ClassRoom.jsx,318,28,28,yes,"title: { fontFamily: SERIF, fontSize: 28, color: 'var(--tx)', marginBottom: 8 },"
src/classroom/ClassRoom.jsx,319,14,14,yes,"sub: { fontSize: 14, color: 'var(--tx2)', lineHeight: 1.5 },"
src/classroom/ClassRoom.jsx,321,13,13,no,"error: { fontSize: 13, color: '#c04a4a', marginTop: 8 },"
src/classroom/ClassRoom.jsx,324,15,15,no,"background: 'var(--pk)', color: '#fff', fontSize: 15, fontWeight: 600,"
src/classroom/ClassRoom.jsx,329,13,13,no,"bannerText: { fontSize: 13, color: 'var(--tx2)', marginBottom: 10 },"
src/classroom/ClassRoom.jsx,333,14,14,yes,"fontSize: 14, fontFamily: 'inherit',"
