file,line,raw,context
src/classroom/CheckinRunner.jsx,195,600,"color: '#fff', fontSize: 15, fontWeight: 600, cursor: 'pointer', fontFamily: 'inherit',"
src/classroom/CheckinRunner.jsx,199,600,"width: 52, height: 52, borderRadius: '50%', fontSize: 17, fontWeight: 600,"
src/classroom/CheckinRunner.jsx,206,500,"quizQuestionText: { fontSize: 15, color: 'var(--tx)', fontWeight: 500, marginBottom: 10 },"
src/classroom/ClassRemote.jsx,372,500,"activities: { flex: 1, fontSize: 15, color: 'var(--tx)', fontWeight: 500 },"
src/classroom/ClassRemote.jsx,380,700,"countdown: { color: 'var(--pk)', fontWeight: 700 },"
src/classroom/ClassRemote.jsx,384,600,"color: '#fff', fontSize: 16, fontWeight: 600, cursor: 'pointer', fontFamily: 'inherit',"
src/classroom/ClassRemote.jsx,401,600,"color: '#fff', fontSize: 13, fontWeight: 600, cursor: 'pointer', fontFamily: 'inherit',"
src/classroom/ClassRoom.jsx,324,600,"background: 'var(--pk)', color: '#fff', fontSize: 15, fontWeight: 600,"
src/classroom/ClassRoom.jsx,337,600,"color: '#fff', fontSize: 13, fontWeight: 600, cursor: 'pointer', fontFamily: 'inherit',"
src/classroom/ClassVerifyEmail.jsx,62,600,"link: { display: 'inline-block', marginTop: 16, fontSize: 14, color: 'var(--pk)', fontWeight: 600, textDecoration: 'none' },"
src/classroom/ConsoleLecturePlanner.jsx,438,500,"lectureTitle: { flex: 1, fontSize: 15, color: 'var(--tx)', fontWeight: 500 },"
src/classroom/ConsoleLecturePlanner.jsx,478,600,"primaryBtnSm: { padding: '7px 16px', borderRadius: 8, border: 'none', background: 'var(--pk)', color: '#fff', fontSize: 13, fontWeight: 600,"
src/classroom/ConsoleParticipation.jsx,113,600,"exportBtn: { padding: '8px 16px', borderRadius: 8, border: '1px solid var(--bds)', background: 'var(--bgc)', color: 'var(--pkd)', fontSize: "
src/classroom/LectureLoungeAdminPage.jsx,268,400,"h1: { fontFamily: SERIF, fontSize: 26, fontWeight: 400, color: 'var(--tx)', margin: '0 0 4px' },"
src/classroom/LectureLoungeAdminPage.jsx,272,500,"label: { fontFamily: '""DM Sans"",system-ui,sans-serif', fontSize: 14, fontWeight: 500, color: 'var(--tx)' },"
src/classroom/LectureLoungeAdminPage.jsx,285,500,"btnPrimary: { display: 'inline-block', background: 'var(--pk)', color: '#fff', border: 'none', borderRadius: 9, padding: '9px 18px', fontSiz"
src/classroom/LectureLoungeAdminPage.jsx,286,600,"btnSmall: { background: 'var(--pk)', color: '#fff', border: 'none', borderRadius: 8, padding: '7px 16px', fontSize: 13, fontWeight: 600, cur"
src/classroom/LectureLoungeAdminPage.jsx,296,400,"dialogTitle: { fontFamily: SERIF, fontSize: 20, fontWeight: 400, color: 'var(--tx)', margin: '0 0 12px' },"
src/classroom/LectureLoungeAdminPage.jsx,299,500,"confirmDeleteBtn: { background: '#c0392b', color: '#fff', border: 'none', borderRadius: 8, padding: '8px 18px', fontSize: 14, cursor: 'point"
src/classroom/ResultsView.jsx,309,500,"quizResultText: { fontSize: 13, color: 'var(--tx)', fontWeight: 500, marginBottom: 8 },"
src/classroom/ResultsView.jsx,312,correct,"fontSize: 12, color: correct ? '#1a8a4a' : 'var(--tx2)', fontWeight: correct ? 700 : 400,"
src/components/audio/StudyAudioPlayer.css,73,600,font-weight: 600;
src/components/audio/StudyAudioPlayer.css,109,600,font-weight: 600;
src/components/Avatar/AvatarEditor.jsx,569,700,"lockedLabel:     { fontFamily: MONO, fontSize: 12, fontWeight: 700, letterSpacing: '0.12em', textTransform: 'uppercase', color: 'var(--pk)',"
src/components/Avatar/AvatarEditor.jsx,580,700,"panelLabel:   { fontFamily: MONO, fontSize: 12, fontWeight: 700, letterSpacing: '0.08em', textTransform: 'uppercase', color: 'var(--tx3)' },"
src/components/Avatar/AvatarEditor.jsx,587,700,"fontFamily: MONO, fontSize: 14, fontWeight: 700, letterSpacing: '-0.2px',"
src/components/Avatar/BaseAvatarCreator.jsx,213,700,"fontWeight: 700,"
src/components/Avatar/BaseAvatarCreator.jsx,257,700,"fontSize: 12, fontWeight: 700,"
src/components/Avatar/BaseAvatarCreator.jsx,333,700,"fontSize: 12, fontWeight: 700,"
src/components/Avatar/BaseAvatarCreator.jsx,430,700,"fontWeight: 700,"
src/components/DemoModal.jsx,36,600,"<p style={{ fontFamily: 'DM Sans', fontSize: 13, fontWeight: 600, color: '#fff', margin: '0 0 2px' }}>"
src/components/ErrorBoundary.jsx,45,600,"btn: { padding: '10px 24px', borderRadius: 10, border: 'none', background: 'var(--pk)', color: '#fff', fontSize: 14, fontWeight: 600, cursor"
src/components/Nav.jsx,42,400,"<span style={S.wordmark}>RAD<b style={{ color: 'var(--pk)', fontWeight: 400 }}>lab</b></span>"
