file,line,raw,px,clickHeuristic,context
src/App.css,4,5px,,non-clickable,border-radius: 5px;
src/App.css,121,6px,,non-clickable,border-radius: 6px;
src/classroom/CheckinRunner.jsx,190,10,,non-clickable,"width: '100%', padding: '12px 14px', borderRadius: 10, border: '1px solid var(--bds)',"
src/classroom/CheckinRunner.jsx,194,10,,non-clickable,"padding: '12px 28px', borderRadius: 10, border: 'none', background: 'var(--pk)',"
src/classroom/CheckinRunner.jsx,199,50%,,non-clickable,"width: 52, height: 52, borderRadius: '50%', fontSize: 17, fontWeight: 600,"
src/classroom/CheckinRunner.jsx,208,10,,non-clickable,"display: 'flex', alignItems: 'center', padding: '10px 12px', borderRadius: 10, fontSize: 14, marginBottom: 6, cursor: 'pointer',"
src/classroom/ClassRemote.jsx,363,20,,non-clickable,"fontFamily: MONO, fontSize: 11, padding: '4px 10px', borderRadius: 20, whiteSpace: 'nowrap',"
src/classroom/ClassRemote.jsx,368,10,,non-clickable,"error: { fontSize: 13, color: '#c04a4a', background: '#fdecec', border: '1px solid #f3b8b8', borderRadius: 10, padding: '10px 14px', marginB"
src/classroom/ClassRemote.jsx,369,16,,non-clickable,"card: { background: 'var(--bgc)', border: '1px solid var(--bd)', borderRadius: 16, padding: '16px 18px', marginBottom: 12 },"
src/classroom/ClassRemote.jsx,374,6,,non-clickable,"fontFamily: MONO, fontSize: 10, textTransform: 'uppercase', letterSpacing: 1, padding: '3px 8px', borderRadius: 6,"
src/classroom/ClassRemote.jsx,383,12,,non-clickable,"flex: 1, padding: '14px 0', borderRadius: 12, border: 'none', background: 'var(--pk)',"
src/classroom/ClassRemote.jsx,387,12,,non-clickable,"padding: '14px 18px', borderRadius: 12, border: '1px solid var(--bds)', background: 'var(--bgc)',"
src/classroom/ClassRemote.jsx,394,10,,non-clickable,"questionRow: { background: 'var(--bg)', borderRadius: 10, padding: '10px 12px', marginBottom: 8 },"
src/classroom/ClassRemote.jsx,400,8,,non-clickable,"padding: '7px 14px', borderRadius: 8, border: 'none', background: 'var(--pk)',"
src/classroom/ClassRoom.jsx,316,16,,non-clickable,"card: { background: 'var(--bgc)', border: '1px solid var(--bd)', borderRadius: 16, padding: '32px 28px', textAlign: 'center' },"
src/classroom/ClassRoom.jsx,323,10,,non-clickable,"marginTop: 20, padding: '12px 28px', borderRadius: 10, border: 'none',"
src/classroom/ClassRoom.jsx,327,12,,non-clickable,"banner: { background: 'var(--bgp)', border: '1px solid var(--pkb)', borderRadius: 12, padding: '14px 18px', marginBottom: 16 },"
src/classroom/ClassRoom.jsx,332,8,,non-clickable,"flex: 1, padding: '9px 12px', borderRadius: 8, border: '1px solid var(--bds)',"
src/classroom/ClassRoom.jsx,336,8,,non-clickable,"padding: '9px 18px', borderRadius: 8, border: 'none', background: 'var(--pk)',"
src/classroom/ClassScreen.jsx,162,20,,non-clickable,"qrRow: { display: 'flex', flexDirection: 'column', alignItems: 'center', gap: 12, background: '#fff', padding: 24, borderRadius: 20 },"
src/classroom/ClassScreen.jsx,166,50%,,non-clickable,"position: 'absolute', top: 60, width: 14, height: 14, borderRadius: '50%',"
src/classroom/ClassVerifyEmail.jsx,58,16,,non-clickable,"card: { background: 'var(--bgc)', border: '1px solid var(--bd)', borderRadius: 16, padding: '40px 32px', textAlign: 'center', maxWidth: 400 "
src/classroom/ConsoleLecturePlanner.jsx,431,10,,non-clickable,"borderRadius: 10, padding: '10px 14px', fontSize: 13, marginBottom: 16,"
src/classroom/ConsoleLecturePlanner.jsx,435,12,,non-clickable,"lectureCard: { background: 'var(--bgc)', border: '1px solid var(--bd)', borderRadius: 12, marginBottom: 12, overflow: 'hidden' },"
src/classroom/ConsoleLecturePlanner.jsx,447,8,,non-clickable,"checkinRow: { display: 'flex', alignItems: 'center', gap: 10, padding: '8px 10px', borderRadius: 8, background: 'var(--bg)', marginBottom: 6"
src/classroom/ConsoleLecturePlanner.jsx,450,6,,non-clickable,"autoCloseBadge: { fontFamily: MONO, fontSize: 11, color: 'var(--pkd)', background: 'var(--pkb)', padding: '2px 8px', borderRadius: 6 },"
src/classroom/ConsoleLecturePlanner.jsx,455,10,,non-clickable,"checkinForm: { background: 'var(--bg)', borderRadius: 10, padding: 14, marginBottom: 8 },"
src/classroom/ConsoleLecturePlanner.jsx,458,7,,non-clickable,"input: { padding: '7px 10px', borderRadius: 7, border: '1px solid var(--bds)', fontSize: 13, fontFamily: 'inherit' },"
src/classroom/ConsoleLecturePlanner.jsx,462,20,,non-clickable,"display: 'inline-flex', alignItems: 'center', padding: '6px 12px', borderRadius: 20, fontSize: 13,"
src/classroom/ConsoleLecturePlanner.jsx,466,10,,non-clickable,"quizItemBox: { background: 'var(--bgc)', border: '1px solid var(--bd)', borderRadius: 10, padding: 12, marginBottom: 8 },"
src/classroom/ConsoleLecturePlanner.jsx,475,5,,non-clickable,"orderBtn: { border: '1px solid var(--bds)', background: 'var(--bgc)', borderRadius: 5, width: 22, height: 22, cursor: 'pointer', fontSize: 1"
src/classroom/ConsoleLecturePlanner.jsx,478,8,,non-clickable,"primaryBtnSm: { padding: '7px 16px', borderRadius: 8, border: 'none', background: 'var(--pk)', color: '#fff', fontSize: 13, fontWeight: 600,"
src/classroom/ConsoleLecturePlanner.jsx,479,8,,non-clickable,"ghostBtnSm: { padding: '7px 16px', borderRadius: 8, border: '1px solid var(--bds)', background: 'none', color: 'var(--tx2)', fontSize: 13, c"
src/classroom/ConsoleLecturePlanner.jsx,480,8,,non-clickable,"addBtn: { padding: '10px 16px', borderRadius: 8, border: '1px dashed var(--bds)', background: 'none', color: 'var(--pk)', fontSize: 13, curs"
src/classroom/ConsoleParticipation.jsx,113,8,,non-clickable,"exportBtn: { padding: '8px 16px', borderRadius: 8, border: '1px solid var(--bds)', background: 'var(--bgc)', color: 'var(--pkd)', fontSize: "
src/classroom/ConsoleParticipation.jsx,114,10,,non-clickable,"tableWrap: { overflowX: 'auto', borderRadius: 10, border: '1px solid var(--bd)', background: 'var(--bgc)' },"
src/classroom/ConsoleParticipation.jsx,122,6,,non-clickable,"unverifiedBadge: { marginLeft: 8, fontFamily: MONO, fontSize: 10, color: '#b8760f', background: '#fdf2e5', padding: '2px 6px', borderRadius:"
src/classroom/LectureLoungeAdminPage.jsx,276,10,,non-clickable,"tableWrap: { overflowX: 'auto', borderRadius: 10, border: '1px solid var(--bd)', background: 'var(--bgc)' },"
src/classroom/LectureLoungeAdminPage.jsx,285,9,,non-clickable,"btnPrimary: { display: 'inline-block', background: 'var(--pk)', color: '#fff', border: 'none', borderRadius: 9, padding: '9px 18px', fontSiz"
src/classroom/LectureLoungeAdminPage.jsx,286,8,,non-clickable,"btnSmall: { background: 'var(--pk)', color: '#fff', border: 'none', borderRadius: 8, padding: '7px 16px', fontSize: 13, fontWeight: 600, cur"
src/classroom/LectureLoungeAdminPage.jsx,287,8,,non-clickable,"cancelBtn: { background: 'none', border: '1px solid var(--bd)', borderRadius: 8, padding: '7px 16px', fontSize: 13, cursor: 'pointer', color"
src/classroom/LectureLoungeAdminPage.jsx,290,7,,non-clickable,"input: { padding: '7px 10px', borderRadius: 7, border: '1px solid var(--bds)', fontSize: 13, fontFamily: 'inherit' },"
src/classroom/LectureLoungeAdminPage.jsx,295,14,,non-clickable,"dialog: { background: '#fff', borderRadius: 14, padding: '28px 32px', maxWidth: 420, width: '90%', boxShadow: '0 8px 32px rgba(0,0,0,0.18)' "
src/classroom/LectureLoungeAdminPage.jsx,299,8,,non-clickable,"confirmDeleteBtn: { background: '#c0392b', color: '#fff', border: 'none', borderRadius: 8, padding: '8px 18px', fontSize: 14, cursor: 'point"
src/classroom/ResultsView.jsx,288,50%,,non-clickable,"legendSelf: { display: 'inline-block', width: 9, height: 9, borderRadius: '50%', background: 'var(--pk)', marginRight: 4 },"
src/classroom/ResultsView.jsx,289,50%,,non-clickable,"legendOther: { display: 'inline-block', width: 9, height: 9, borderRadius: '50%', background: 'var(--gy)', marginRight: 4, marginLeft: 10 },"
src/classroom/ResultsView.jsx,293,4,,non-clickable,"pacingFill: { width: '100%', background: 'var(--pk)', borderRadius: 4, minHeight: 2 },"
src/classroom/ResultsView.jsx,299,10,,non-clickable,"background: 'var(--bgc)', border: '1px solid var(--bd)', borderRadius: 10, padding: '10px 12px', marginBottom: 8, textAlign: 'left',"
src/classroom/ResultsView.jsx,303,8,,non-clickable,"fontFamily: MONO, fontSize: 12, whiteSpace: 'nowrap', padding: '5px 10px', borderRadius: 8, cursor: 'pointer',"
src/classroom/ResultsView.jsx,315,5,,non-clickable,"quizResultBarTrack: { flex: 1, height: 10, borderRadius: 5, background: 'var(--bg)', overflow: 'hidden' },"
src/classroom/ResultsView.jsx,316,5,,non-clickable,"quizResultBarFill: (correct) => ({ height: '100%', borderRadius: 5, background: correct ? '#1a8a4a' : 'var(--pk)' }),"
src/components/audio/StudyAudioPlayer.css,9,14px,,non-clickable,border-radius: 14px;
src/components/audio/StudyAudioPlayer.css,36,50%,,non-clickable,border-radius: 50%;
src/components/audio/StudyAudioPlayer.css,133,50%,,non-clickable,border-radius: 50%;
src/components/audio/StudyAudioPlayer.css,164,3px,,non-clickable,border-radius: 3px;
src/components/audio/StudyAudioPlayer.css,173,3px,,non-clickable,border-radius: 3px;
src/components/Avatar/AvatarEditor.jsx,60,50%,,maybe-clickable,"borderRadius: '50%',"
src/components/Avatar/AvatarEditor.jsx,88,10,,non-clickable,"borderRadius: 10,"
src/components/Avatar/AvatarEditor.jsx,103,10,,non-clickable,"<span style={{ position: 'absolute', inset: 0, display: 'flex', alignItems: 'center', justifyContent: 'center', fontSize: 14, borderRadius: "
src/components/Avatar/AvatarEditor.jsx,119,10,,maybe-clickable,"borderRadius: 10,"
src/components/Avatar/AvatarEditor.jsx,127,50%,,non-clickable,"<div style={{ width: 20, height: 20, borderRadius: '50%', background: color.value, border: '1px solid rgba(0,0,0,0.15)' }} />"
src/components/Avatar/AvatarEditor.jsx,142,8,,maybe-clickable,"borderRadius: 8,"
src/components/Avatar/AvatarEditor.jsx,385,50%,,maybe-clickable,"width: 26, height: 26, borderRadius: '50%', background: hex,"
src/components/Avatar/AvatarEditor.jsx,422,6,,maybe-clickable,"padding: '2px 8px', borderRadius: 6, cursor: 'pointer',"
src/components/Avatar/AvatarEditor.jsx,563,32,,non-clickable,"background: 'var(--bgc)', borderRadius: 32, padding: 16,"
src/components/Avatar/AvatarEditor.jsx,568,18,,non-clickable,"lockedCard:      { background: 'var(--bgc)', borderRadius: 18, padding: '14px 16px', width: 220, boxShadow: '0 3px 14px rgba(240,104,164,0.1"
src/components/Avatar/AvatarEditor.jsx,572,6,,non-clickable,"lockedPts:       { fontFamily: MONO, fontSize: 12, color: 'var(--tx3)', background: 'var(--bg)', borderRadius: 6, padding: '1px 6px' },"
src/components/Avatar/AvatarEditor.jsx,578,24,,non-clickable,"panel:        { background: 'var(--bgc)', borderRadius: 24, padding: '22px 24px', boxShadow: '0 4px 24px rgba(240,104,164,0.10)', marginBott"
src/components/Avatar/AvatarEditor.jsx,581,6,,non-clickable,"paletteBadge: { fontFamily: MONO, fontSize: 9, color: 'var(--pk)', background: 'var(--bgp)', borderRadius: 6, padding: '2px 7px', letterSpac"
src/components/Avatar/AvatarEditor.jsx,586,16,,non-clickable,"color: 'white', border: 'none', borderRadius: 16,"
