===== COLORS: 2493 occurrences, 461 unique values =====
value | count | token | nearest(dist) | areas | topFiles
#ffffff | 402 | surface | surface(0) | admin:122 games:105 study-infra:85 platform-core:36 lecture-lounge:16 dev-keynote:14 lab:8 assets:6 onboarding-ripple:6 global-css-config:4 | src/games/FarmJoy/FarmJoy.jsx(24) src/components/study/InterventionPage.jsx(12) src/pages/keynote/Keynote.jsx(10)
#f068a4 | 195 | primary | primary(0) | games:64 platform-core:47 study-infra:38 onboarding-ripple:16 global-css-config:10 dev-keynote:9 lab:7 admin:4 | src/pages/PlatformPage.jsx(16) src/games/Drift/Drift.jsx(13) src/ripple/CheckinFlow.jsx(12)
#1c1c1e | 71 | text-main | text-main(0) | games:26 platform-core:11 study-infra:8 lab:8 onboarding-ripple:6 global-css-config:5 lecture-lounge:3 dev-keynote:3 admin:1 | src/games/PondWatch.jsx(6) src/ripple/CheckinFlow.jsx(6) src/games/StillWater/StillWater.jsx(5)
#000000 | 68 | - | text-main(50) | admin:23 games:21 platform-core:10 study-infra:4 dev-keynote:3 assets:2 lecture-lounge:2 onboarding-ripple:2 lab:1 | src/components/Avatar/AvatarEditor.jsx(4) src/games/FarmJoy/FarmJoy.jsx(4) src/games/ColorMax/ColorMax.css(3)
#ee0044 | 65 | - | primary-dark(107) | admin:36 study-infra:23 games:4 onboarding-ripple:2 | src/pages/admin/VasPreviewPage.jsx(4) src/components/study/builder/nodes/RandomizeNode.jsx(3) src/pages/admin/ExperimentBuilder.jsx(3)
#abadb0 | 59 | text-muted | text-muted(0) | games:22 study-infra:13 platform-core:10 onboarding-ripple:5 global-css-config:4 lab:4 admin:1 | src/components/Avatar/BaseAvatarCreator.jsx(6) src/components/audio/StudyAudioPlayer.css(5) src/games/Drift/Drift.jsx(5)
#639922 | 48 | - | text-secondary(90) | study-infra:40 admin:4 platform-core:3 games:1 | src/components/study/InterventionPage.jsx(27) src/components/study/MidpointStep.jsx(5) src/components/ScreenerPage.jsx(3)
#c0392b | 41 | - | primary-dark(89) | admin:26 study-infra:6 lecture-lounge:4 games:4 platform-core:1 | src/pages/admin/TrainingUpload.jsx(8) src/classroom/LectureLoungeAdminPage.jsx(4) src/pages/admin/QuestionnaireUpload.jsx(4)
#fcf0f5 | 40 | base | base(0) | games:19 platform-core:9 study-infra:3 lecture-lounge:2 admin:2 dev-keynote:2 global-css-config:1 lab:1 onboarding-ripple:1 | src/pages/SessionEntry.jsx(4) src/components/audio/StudyAudioPlayer.css(3) src/games/ColorMax/ColorMax.css(3)
#2c2c2a | 35 | - | text-main(26) | study-infra:29 platform-core:5 admin:1 | src/components/study/InterventionPage.jsx(14) src/components/ScreenerPage.jsx(5) src/components/study/DailyFarewellStep.jsx(4)
#5f5e5a | 31 | - | text-secondary(29) | study-infra:22 platform-core:5 admin:4 | src/components/study/InterventionPage.jsx(15) src/components/ScreenerPage.jsx(5) src/components/study/MidpointStep.jsx(5)
#784421 | 28 | - | text-secondary(89) | games:17 platform-core:4 onboarding-ripple:3 assets:2 lecture-lounge:2 | src/games/Drift/Drift.jsx(4) src/games/FaceRead/FaceRead.jsx(3) src/games/StillWater/StillWater.jsx(3)
#e0ddd8 | 27 | - | tint(40) | study-infra:19 platform-core:7 admin:1 | src/components/study/InterventionPage.jsx(11) src/components/study/MidpointStep.jsx(8) src/components/ScreenerPage.jsx(7)
#ffcccc | 25 | - | tint(49) | admin:16 study-infra:7 onboarding-ripple:2 | src/pages/admin/ExperimentBuilder.jsx(3) src/components/study/builder/ContactSettingsModal.jsx(1) src/components/study/CompensationStep.jsx(1)
#b4648c | 25 | - | primary-dark(30) | study-infra:7 lab:7 dev-keynote:5 global-css-config:3 games:2 admin:1 | src/pages/keynote/graphics.jsx(4) src/pages/lab/MediaPage.jsx(4) src/index.css(3)
#4a90d9 | 24 | - | text-muted(109) | games:14 platform-core:4 onboarding-ripple:3 dev-keynote:2 study-infra:1 | src/components/Avatar/BaseAvatar.jsx(2) src/games/shared/breath/BreathLab.jsx(2) src/pages/keynote/graphics.jsx(2)
#fff0f0 | 23 | - | base(6) | admin:14 study-infra:7 onboarding-ripple:2 | src/pages/admin/ExperimentBuilder.jsx(2) src/components/study/builder/ContactSettingsModal.jsx(1) src/components/study/CompensationStep.jsx(1)
